"","plot_ID","LAT","LON"
"2432","47_123_63",35.430206,-84.140184
"2433","47_139_66",35.062426,-84.467826
"2434","47_171_48",36.101986,-82.473679
"2435","47_179_43",36.197306,-82.428345
"2436","47_123_123",35.348947,-84.046718
"2437","47_123_125",35.350605,-84.199052
"2438","47_123_129",35.265481,-84.364441
"2439","47_9_7",35.578727,-83.725412
"2440","47_9_25",35.664252,-83.719179
"2441","47_9_44",35.573664,-83.818633
"2442","47_9_10",35.612801,-83.826567
"2443","47_9_29",35.663776,-83.876155
"2444","47_9_30",35.615414,-83.877399
"2445","47_9_13",35.585608,-83.869354
"2446","47_9_31",35.524857,-83.932868
"2447","47_9_47",35.573143,-83.976815
"2448","47_29_29",35.886427,-83.107824
"2449","47_29_26",35.926556,-83.120007
"2450","47_29_48",35.758096,-83.232551
"2451","47_163_24",36.578354,-81.944405
"2452","47_163_22",36.445784,-82.168861
"2453","47_29_65",35.931684,-83.071452
